"","Name","Chromosome","Position"
"168","PstI.TP752031",1,1812794
"169","PstI.TP1164925",1,1823087
"170","PstI.TP267190",1,1826471
"171","PstI.TP358550",1,1827875
"172","PstI.TP162847",1,1850794
"173","PstI.TP973765",1,1850824
"174","PstI.TP662746",1,1875120
"175","NsiI.TP198999",1,1902613
"176","NsiI.TP522237",1,1912546
"177","PstI.TP569202",1,1913143
"178","PstI.TP193367",1,1929457
"179","PstI.TP1004354",1,1929463
"180","NsiI.TP514174",1,1934786
"181","PstI.TP929619",1,1952038
"182","PstI.TP1076507",1,1969338
"183","NsiI.TP501075",1,1970427
"184","NsiI.TP212267",1,1974353
"185","PstI.TP1073657",1,1992755
"186","NsiI.TP346928",1,2007649
"187","NsiI.TP465382",1,2030255
"188","PstI.TP417865",1,2030761
"189","NsiI.TP666080",1,2031570
"190","NsiI.TP76995",1,2035657
"191","PstI.TP1108087",1,2058532
"192","NsiI.TP520381",1,2061408
"193","PstI.TP937968",1,2082361
"194","PstI.TP885267",1,2084430
"195","NsiI.TP522007",1,2084710
"196","PstI.TP871791",1,2088837
"197","PstI.TP1172854",1,2090281
"198","PstI.TP1172855",1,2090284
"199","NsiI.TP766362",1,2101336
"200","NsiI.TP412045",1,2102732
"201","NsiI.TP252447",1,2106782
"202","PstI.TP194713",1,2118577
"203","NsiI.TP737328",1,2124467
"204","PstI.TP992189",1,2128106
"205","NsiI.TP224834",1,2135892
"206","NsiI.TP812198",1,2141115
"207","PstI.TP1074104",1,2141726
"208","NsiI.TP66502",1,2144892
"209","PstI.TP1161765",1,2167489
"210","PstI.TP99836",1,2167938
"211","PstI.TP127171",1,2168030
"212","PstI.TP1142098",1,2178144
"213","NsiI.TP77014",1,2184209
"214","PstI.TP291430",1,2184590
"215","PstI.TP19978",1,2238336
"216","PstI.TP627948",1,2248757
"217","PstI.TP456950",1,2253706
"218","NsiI.TP435455",1,2255018
"219","GFSSContig18743_720",1,2267526
"220","PstI.TP1167790",1,2271739
"221","NsiI.TP288503",1,2272699
"222","PstI.TP1294018",1,2280325
"223","NsiI.TP452359",1,2295850
"224","PstI.TP56186",1,2315028
"225","PstI.TP56795",1,2315051
"226","PstI.TP760298",1,2316156
"227","PstI.TP35983",1,2316412
"228","PstI.TP1078305",1,2344174
"229","PstI.TP729908",1,2358833
"230","NsiI.TP581618",1,2360930
"231","PstI.TP167208",1,2365447
"232","PstI.TP1070532",1,2365508
"233","PstI.TP435581",1,2382439
"234","NsiI.TP823476",1,2397333
"235","PstI.TP962587",1,2401015
"236","PstI.TP1061070",1,2406219
"237","PstI.TP1270297",1,2407541
"238","NsiI.TP436516",1,2429323
"239","PstI.TP642750",1,2436778
"240","PstI.TP830503",1,2436800
"241","PstI.TP1236997",1,2443424
"242","NsiI.TP12714",1,2443521
"243","PstI.TP653218",1,2466683
"244","PstI.TP731711",1,2484952
"245","PstI.TP584911",1,2497040
"246","PstI.TP101400",1,2524399
"247","PstI.TP87257",1,2524425
"248","PstI.TP670977",1,2526396
"249","NsiI.TP509743",1,2527815
"250","PstI.TP1194780",1,2560012
"251","PstI.TP1194789",1,2560027
"252","PstI.TP1194784",1,2560051
"253","PstI.TP684585",1,2561805
"254","PstI.TP108989",1,2588793
"255","PstI.TP1224775",1,2595649
"256","NsiI.TP814891",1,2595684
"257","PstI.TP609084",1,2595701
"258","PstI.TP966432",1,2596832
"259","PstI.TP302196",1,2600097
"260","NsiI.TP421700",1,2601493
"261","NsiI.TP421701",1,2601507
"262","NsiI.TP486649",1,2601704
"263","PstI.TP748271",1,2609658
"264","NsiI.TP747936",1,2617302
"265","PstI.TP12220",1,2623236
"266","NsiI.TP795476",1,2630492
"267","PstI.TP624298",1,2635963
"268","NsiI.TP167041",1,2638358
"269","PstI.TP84372",1,2643915
"270","PstI.TP84374",1,2643932
"271","PstI.TP1234629",1,2650110
"272","NsiI.TP262405",1,2659265
"273","PstI.TP1095066",1,2661867
"274","NsiI.TP436355",1,2683471
"275","PstI.TP91366",1,2683935
"276","PstI.TP91367",1,2683983
"277","NsiI.TP262723",1,2701695
"278","PstI.TP362461",1,2717854
"279","PstI.TP369304",1,2717868
"280","NsiI.TP798916",1,2736771
"281","NsiI.TP810022",1,2736782
"282","NsiI.TP346840",1,2737708
"283","NsiI.TP612",1,2739494
"284","NsiI.TP543728",1,2758860
"285","NsiI.TP476081",1,2787885
"286","PstI.TP1243434",1,2816817
"287","PstI.TP441536",1,2816855
"288","PstI.TP14727",1,2819251
"289","PstI.TP1085601",1,2820903
"290","NsiI.TP807937",1,2822504
"291","NsiI.TP307886",1,2823030
"292","PstI.TP772178",1,2837274
"293","NsiI.TP603286",1,2837607
"294","PstI.TP322672",1,2846372
"295","PstI.TP65696",1,2848477
"296","PstI.TP1085884",1,2858599
"297","NsiI.TP615715",1,2859563
"298","NsiI.TP601192",1,2877217
"299","NsiI.TP281585",1,2877989
"300","PstI.TP525202",1,2884119
"301","PstI.TP68906",1,2893380
"302","NsiI.TP248493",1,2912143
"303","NsiI.TP248494",1,2912156
"304","NsiI.TP800628",1,2914696
"305","PstI.TP218456",1,2917050
"306","NsiI.TP472422",1,2943582
"307","PstI.TP808618",1,2956046
"308","PstI.TP87177",1,2958035
"309","PstI.TP766792",1,2970144
"310","PstI.TP910121",1,2970548
"311","NsiI.TP502177",1,2971516
"312","PstI.TP502544",1,2975184
"313","PstI.TP740841",1,2979318
"314","PstI.TP736503",1,2979376
"315","NsiI.TP795690",1,2979520
"316","PstI.TP23705",1,2985941
"317","PstI.TP1268585",1,2988383
"318","PstI.TP528703",1,3006566
"319","PstI.TP266209",1,3006594
"320","NsiI.TP474256",1,3014149
"321","NsiI.TP523557",1,3014710
"322","PstI.TP1262841",1,3015876
"323","PstI.TP1262838",1,3015902
"324","PstI.TP526532",1,3016481
"325","PstI.TP362775",1,3016582
"326","NsiI.TP307255",1,3020815
"327","PstI.TP648800",1,3026447
"328","PstI.TP59735",1,3027630
"329","PstI.TP849876",1,3050119
"330","PstI.TP1268920",1,3050813
"331","NsiI.TP641200",1,3051168
"332","PstI.TP66009",1,3078783
"333","PstI.TP691644",1,3081682
"334","NsiI.TP603018",1,3084527
"335","NsiI.TP326185",1,3085249
"336","NsiI.TP720846",1,3087651
"337","PstI.TP496269",1,3093556
"338","PstI.TP47659",1,3099267
"339","PstI.TP47658",1,3099273
"340","NsiI.TP810718",1,3099667
"341","NsiI.TP624882",1,3100006
"342","PstI.TP768785",1,3108150
"343","NsiI.TP520698",1,3113038
"344","NsiI.TP112060",1,3117856
"345","PstI.TP394468",1,3118128
"346","PstI.TP884692",1,3118202
"347","PstI.TP904783",1,3129695
"348","NsiI.TP706362",1,3155871
"349","PstI.TP209943",1,3170453
"350","NsiI.TP749903",1,3170487
"351","NsiI.TP304061",1,3171203
"352","NsiI.TP542903",1,3218791
"353","NsiI.TP231108",1,3222611
"354","NsiI.TP400110",1,3226080
"355","PstI.TP21363",1,3287441
"356","PstI.TP1091652",1,3288560
"357","NsiI.TP320544",1,3288804
"358","PstI.TP919804",1,3298099
"359","NsiI.TP211514",1,3302756
"360","PstI.TP209693",1,3305106
"361","PstI.TP269249",1,3305595
"362","PstI.TP1184342",1,3305691
"363","PstI.TP741170",1,3312416
"364","NsiI.TP753935",1,3342654
"365","PstI.TP626124",1,3342723
"366","NsiI.TP177729",1,3353639
"367","NsiI.TP518551",1,3353724
"368","PstI.TP922550",1,3353874
"369","PstI.TP1279908",1,3354502
"370","PstI.TP1059573",1,3357749
"371","NsiI.TP148784",1,3360420
"372","NsiI.TP428684",1,3363336
"373","NsiI.TP582201",1,3374367
"374","NsiI.TP504485",1,3381640
"375","PstI.TP1243055",1,3389055
"376","PstI.TP637101",1,3390212
"377","NsiI.TP260939",1,3396877
"378","PstI.TP1244443",1,3397749
"379","NsiI.TP24278",1,3414839
"380","PstI.TP632135",1,3443106
"381","NsiI.TP679512",1,3457260
"382","PstI.TP1199997",1,3471828
"383","PstI.TP757375",1,3471897
"384","PstI.TP65781",1,3479205
"385","PstI.TP17640",1,3513489
"386","PstI.TP456045",1,3516456
"387","PstI.TP269823",1,3529107
"388","PstI.TP726521",1,3535515
"389","NsiI.TP207145",1,3548344
"390","NsiI.TP829914",1,3550216
"391","PstI.TP149871",1,3568761
"392","PstI.TP374511",1,3576636
"393","PstI.TP1267977",1,3576713
"394","PstI.TP210807",1,3577073
"395","PstI.TP217326",1,3620492
"396","PstI.TP1155202",1,3620639
"397","GFSSContig18013_689",1,3623605
"398","GFSSContig1730_934",1,3627877
"399","PstI.TP1257302",1,3655077
"400","PstI.TP227791",1,3658866
"401","PstI.TP669284",1,3667773
"402","PstI.TP972367",1,3682483
"403","PstI.TP12228",1,3683456
"404","PstI.TP1043163",1,3691184
"405","PstI.TP374309",1,3692759
"406","NsiI.TP392328",1,3693050
"407","PstI.TP961085",1,3705536
"408","PstI.TP21889",1,3705780
"409","PstI.TP1199839",1,3705843
"410","PstI.TP236358",1,3737433
"411","PstI.TP339980",1,3742769
"412","NsiI.TP177313",1,3751879
"413","PstI.TP15894",1,3778286
"414","PstI.TP353084",1,3778381
"415","PstI.TP1255828",1,3785830
"416","NsiI.TP38024",1,3799851
"417","PstI.TP731916",1,3850113
"418","PstI.TP1175821",1,3851577
"419","NsiI.TP670277",1,3855543
"420","PstI.TP12252",1,3868495
"421","PstI.TP84946",1,3887760
"422","NsiI.TP730040",1,3910389
"423","NsiI.TP221823",1,3948125
"424","PstI.TP1053336",1,3955998
"425","NsiI.TP403662",1,3957731
"426","NsiI.TP591769",1,3965582
"427","PstI.TP343137",1,3988996
"428","PstI.TP51305",1,3991347
"429","NsiI.TP502555",1,4013438
"430","PstI.TP184548",1,4015875
"431","NsiI.TP227654",1,4023324
"432","PstI.TP891020",1,4033768
"433","PstI.TP1114972",1,4045057
"434","PstI.TP1146887",1,4048849
"435","PstI.TP1007615",1,4064445
"436","NsiI.TP418157",1,4070487
"437","PstI.TP1266866",1,4075813
"438","NsiI.TP564528",1,4080985
"439","PstI.TP231983",1,4083370
"440","NsiI.TP673754",1,4124063
"441","PstI.TP384512",1,4144052
"442","PstI.TP123409",1,4154658
"443","PstI.TP48404",1,4196705
"444","NsiI.TP495513",1,4196957
"445","NsiI.TP420528",1,4198659
"446","NsiI.TP748831",1,4198755
"447","NsiI.TP243243",1,4202046
"448","PstI.TP1160229",1,4204691
"449","PstI.TP17940",1,4209698
"450","PstI.TP346636",1,4227896
"451","NsiI.TP580113",1,4236309
"452","PstI.TP539908",1,4267394
"453","PstI.TP629259",1,4276027
"454","PstI.TP629254",1,4276045
"455","NsiI.TP225206",1,4278964
"456","PstI.TP599866",1,4279155
"457","PstI.TP704354",1,4298455
"458","PstI.TP736289",1,4314719
"459","NsiI.TP497468",1,4342825
"460","PstI.TP911466",1,4343935
"461","PstI.TP314275",1,4369536
"462","PstI.TP820611",1,4393513
"463","NsiI.TP188114",1,4401488
"464","NsiI.TP235210",1,4408895
"465","NsiI.TP331596",1,4417720
"466","PstI.TP222764",1,4421935
"467","GFSSContig12925_418",1,4422459
"468","NsiI.TP693921",1,4440364
"469","PstI.TP1014212",1,4444231
"470","PstI.TP1161147",1,4451923
"471","NsiI.TP414259",1,4455947
"472","PstI.TP140451",1,4460094
"473","NsiI.TP467384",1,4465685
"474","NsiI.TP39399",1,4465777
"475","NsiI.TP59064",1,4466192
"476","NsiI.TP432788",1,4467622
"477","NsiI.TP601351",1,4467655
"478","NsiI.TP486661",1,4467735
"479","NsiI.TP433920",1,4472034
"480","PstI.TP931312",1,4475159
"481","NsiI.TP414683",1,4485212
"482","NsiI.TP574174",1,4493796
"483","NsiI.TP675939",1,4512107
"484","NsiI.TP370249",1,4530033
"485","PstI.TP403796",1,4535758
"486","PstI.TP403850",1,4535788
"487","PstI.TP403890",1,4535793
"488","PstI.TP403128",1,4535796
"489","NsiI.TP199266",1,4536282
"490","PstI.TP1181755",1,4538349
"491","PstI.TP528407",1,4539940
"492","NsiI.TP492033",1,4551503
"493","PstI.TP1250346",1,4555696
"494","NsiI.TP340740",1,4578881
"495","PstI.TP131557",1,4584058
"496","PstI.TP426343",1,4584120
"497","PstI.TP426347",1,4584143
"498","NsiI.TP316597",1,4584149
"499","PstI.TP508233",1,4588529
"500","NsiI.TP384361",1,4589554
"501","PstI.TP214969",1,4591303
"502","NsiI.TP44353",1,4593181
"503","NsiI.TP301688",1,4594203
"504","PstI.TP1022656",1,4620609
"505","NsiI.TP468762",1,4620729
"506","GFSSContig15281_3466",1,4622395
"507","PstI.TP1284267",1,4623696
"508","PstI.TP1009631",1,4625223
"509","NsiI.TP82287",1,4640346
"510","NsiI.TP348206",1,4668970
"511","PstI.TP1176986",1,4675228
"512","PstI.TP1038860",1,4677799
"513","PstI.TP982823",1,4677828
"514","NsiI.TP299106",1,4678461
"515","PstI.TP253046",1,4690705
"516","NsiI.TP391090",1,4693160
"517","PstI.TP456930",1,4693819
"518","NsiI.TP450894",1,4698796
"519","PstI.TP307588",1,4762662
"520","NsiI.TP382320",1,4774481
"521","PstI.TP920636",1,4777048
"522","NsiI.TP257109",1,4784660
"523","PstI.TP1168479",1,4789991
"524","NsiI.TP502936",1,4793518
"525","NsiI.TP664576",1,4800417
"526","PstI.TP395577",1,4836167
"527","PstI.TP885531",1,4878428
"528","PstI.TP947391",1,4891496
"529","PstI.TP360448",1,4892312
"530","PstI.TP683907",1,4900973
"531","NsiI.TP429522",1,4906112
"532","NsiI.TP31575",1,4926728
"533","NsiI.TP12890",1,4931988
"534","PstI.TP912651",1,4932459
"535","NsiI.TP21698",1,4937940
"536","NsiI.TP326387",1,4938046
"537","PstI.TP1100793",1,4939667
"538","PstI.TP1056729",1,4939994
"539","NsiI.TP157838",1,4943014
"540","PstI.TP133206",1,4961626
"541","PstI.TP594918",1,4961627
"542","NsiI.TP170228",1,4986646
"543","PstI.TP129148",1,4989914
"544","PstI.TP402201",1,4990012
"545","PstI.TP402429",1,4990016
"546","GFSSContig12956_423",1,4994838
"547","NsiI.TP327562",1,5014848
"548","PstI.TP748688",1,5063937
"549","PstI.TP1139990",1,5067430
"550","PstI.TP220219",1,5091614
"551","PstI.TP1279200",1,5095401
"552","PstI.TP408948",1,5101286
"553","NsiI.TP716274",1,5110381
"554","PstI.TP1126882",1,5115206
"555","NsiI.TP396103",1,5130670
"556","NsiI.TP104521",1,5158944
"557","NsiI.TP732230",1,5223682
"558","PstI.TP803325",1,5232863
"559","PstI.TP946324",1,5257596
"560","NsiI.TP684998",1,5270175
"561","NsiI.TP207745",1,5280145
"562","NsiI.TP694711",1,5307532
"563","PstI.TP706632",1,5363295
"564","NsiI.TP374832",1,5369910
"565","PstI.TP684655",1,5379329
"566","PstI.TP833660",1,5379490
"567","PstI.TP1245993",1,5381667
"568","PstI.TP818000",1,5383679
"569","NsiI.TP186834",1,5384525
"570","PstI.TP833532",1,5408760
"571","PstI.TP213596",1,5408780
"572","NsiI.TP183355",1,5408909
"573","NsiI.TP809916",1,5421388
"574","PstI.TP33116",1,5454770
"575","NsiI.TP556033",1,5459542
"576","NsiI.TP693304",1,5459602
"577","NsiI.TP574665",1,5460544
"578","NsiI.TP367540",1,5460609
"579","PstI.TP279785",1,5461134
"580","PstI.TP297431",1,5461181
"581","NsiI.TP531485",1,5478193
"582","PstI.TP364708",1,5483501
"583","PstI.TP1027235",1,5483548
"584","NsiI.TP66130",1,5486828
"585","PstI.TP1250143",1,5493583
"586","PstI.TP58802",1,5496161
"587","PstI.TP928135",1,5502147
"588","PstI.TP209171",1,5529947
"589","NsiI.TP199612",1,5531684
"590","PstI.TP9547",1,5534818
"591","PstI.TP476949",1,5536792
"592","PstI.TP118830",1,5536868
"593","PstI.TP137261",1,5540981
"594","PstI.TP44335",1,5558934
"595","PstI.TP1113834",1,5559012
"596","PstI.TP291849",1,5571398
"597","PstI.TP134953",1,5571436
"598","NsiI.TP421037",1,5571751
"599","GFSSContig20018_283",1,5572945
"600","PstI.TP1171963",1,5576234
"601","PstI.TP582235",1,5576309
"602","PstI.TP1152372",1,5586472
"603","PstI.TP969035",1,5593714
"604","NsiI.TP251927",1,5599747
"605","PstI.TP32476",1,5631986
"606","NsiI.TP83219",1,5636529
"607","PstI.TP627564",1,5638016
"608","PstI.TP627555",1,5638058
"609","PstI.TP984423",1,5649219
"610","NsiI.TP279301",1,5652100
"611","PstI.TP584919",1,5663458
"612","NsiI.TP308650",1,5669500
"613","PstI.TP1280528",1,5674758
"614","NsiI.TP507732",1,5699267
"615","PstI.TP125117",1,5706174
"616","PstI.TP125118",1,5706204
"617","NsiI.TP242100",1,5716804
"618","PstI.TP980790",1,5717059
"619","NsiI.TP522455",1,5717942
"620","NsiI.TP420896",1,5726246
"621","NsiI.TP313532",1,5727346
"622","PstI.TP808948",1,5727878
"623","NsiI.TP568156",1,5733174
"624","NsiI.TP180551",1,5744278
"625","PstI.TP677745",1,5751851
"626","PstI.TP356699",1,5752437
"627","NsiI.TP678859",1,5757606
"628","NsiI.TP424282",1,5759466
"629","NsiI.TP485950",1,5759851
"630","NsiI.TP423569",1,5760102
"631","PstI.TP491506",1,5763887
"632","PstI.TP491516",1,5763906
"633","PstI.TP43585",1,5767419
"634","PstI.TP159234",1,5767471
"635","PstI.TP159233",1,5767483
"636","PstI.TP224103",1,5770168
"637","NsiI.TP494167",1,5774178
"638","PstI.TP739422",1,5776555
"639","PstI.TP716030",1,5777867
"640","PstI.TP174008",1,5805470
"641","NsiI.TP522559",1,5821306
"642","NsiI.TP683768",1,5821370
"643","PstI.TP705967",1,5858828
"644","PstI.TP771091",1,5868071
"645","NsiI.TP530879",1,5870811
"646","NsiI.TP530878",1,5870812
"647","PstI.TP869720",1,5871355
"648","PstI.TP1169486",1,5874237
"649","PstI.TP134289",1,5884192
"650","NsiI.TP327602",1,5891442
"651","NsiI.TP560132",1,5891509
"652","PstI.TP352750",1,5892417
"653","PstI.TP68903",1,5898727
"654","PstI.TP68902",1,5898731
"655","PstI.TP751807",1,5899520
"656","PstI.TP109454",1,5900665
"657","NsiI.TP375193",1,5909674
"658","PstI.TP1252197",1,5912854
"659","PstI.TP302812",1,5912934
"660","NsiI.TP473756",1,5929291
"661","NsiI.TP745811",1,5929386
"662","NsiI.TP554788",1,5933733
"663","NsiI.TP397166",1,5939378
"664","NsiI.TP389774",1,5939431
"665","NsiI.TP218239",1,5939468
"666","NsiI.TP757731",1,5956239
"667","NsiI.TP623439",1,5964413
"668","PstI.TP745093",1,5966890
"669","PstI.TP116123",1,5967108
"670","PstI.TP916862",1,5972909
"671","NsiI.TP830985",1,5973079
"672","PstI.TP804275",1,5979740
"673","NsiI.TP735045",1,5984469
"674","PstI.TP1004899",1,5995547
"675","PstI.TP882936",1,5999154
"676","PstI.TP523933",1,6018181
"677","PstI.TP257555",1,6018198
"678","PstI.TP537665",1,6031806
"679","NsiI.TP503481",1,6032580
"680","PstI.TP942384",1,6032710
"681","PstI.TP635333",1,6032769
"682","NsiI.TP390317",1,6033387
"683","NsiI.TP408642",1,6033586
"684","NsiI.TP586658",1,6035124
"685","PstI.TP263594",1,6035364
"686","NsiI.TP681096",1,6060428
"687","PstI.TP1238583",1,6062331
"688","PstI.TP8949",1,6074946
"689","NsiI.TP336946",1,6074946
"690","NsiI.TP7164",1,6094801
"691","PstI.TP314566",1,6098764
"692","NsiI.TP257077",1,6103539
"693","NsiI.TP331421",1,6105204
"694","NsiI.TP330880",1,6105246
"695","NsiI.TP102967",1,6105258
"696","PstI.TP1092752",1,6105280
"697","NsiI.TP416737",1,6114038
"698","PstI.TP914278",1,6116355
"699","PstI.TP850835",1,6117705
"700","NsiI.TP123094",1,6127350
"701","NsiI.TP123095",1,6127379
"702","NsiI.TP673329",1,6130409
"703","NsiI.TP134361",1,6131006
"704","NsiI.TP433049",1,6132851
"705","NsiI.TP715263",1,6134311
"706","NsiI.TP715272",1,6134318
"707","NsiI.TP494377",1,6134955
"708","PstI.TP476157",1,6155212
"709","PstI.TP1104113",1,6159260
"710","NsiI.TP476261",1,6164220
"711","PstI.TP897862",1,6177514
"712","PstI.TP722242",1,6187691
"713","NsiI.TP618448",1,6195922
"714","NsiI.TP662821",1,6196406
"715","NsiI.TP655173",1,6196412
"716","NsiI.TP655174",1,6196438
"717","NsiI.TP16286",1,6224788
"718","PstI.TP13958",1,6228644
"719","PstI.TP915815",1,6240832
"720","PstI.TP1060862",1,6247131
"721","PstI.TP175883",1,6248759
"722","PstI.TP213385",1,6282535
"723","NsiI.TP502213",1,6312443
"724","NsiI.TP654735",1,6313560
"725","PstI.TP103404",1,6316783
"726","PstI.TP706227",1,6336683
"727","PstI.TP593353",1,6363225
"728","PstI.TP338428",1,6379340
"729","PstI.TP137290",1,6379384
"730","PstI.TP1242505",1,6406612
"731","PstI.TP979573",1,6407919
"732","PstI.TP696862",1,6407973
"733","NsiI.TP488601",1,6409370
"734","PstI.TP27373",1,6447059
"735","PstI.TP147640",1,6450994
"736","NsiI.TP722435",1,6467881
"737","NsiI.TP338338",1,6473754
"738","NsiI.TP18644",1,6476966
"739","PstI.TP1033113",1,6482846
"740","NsiI.TP258679",1,6486741
"741","NsiI.TP164772",1,6509668
"742","NsiI.TP327780",1,6511617
"743","PstI.TP1015835",1,6514843
"744","NsiI.TP647676",1,6522638
"745","NsiI.TP468565",1,6537903
"746","NsiI.TP80518",1,6543207
"747","NsiI.TP166380",1,6560443
"748","NsiI.TP798296",1,6564683
"749","PstI.TP14082",1,6572158
"750","PstI.TP547229",1,6574881
"751","PstI.TP36571",1,6574933
"752","PstI.TP1129801",1,6608649
"753","PstI.TP380773",1,6608677
"754","NsiI.TP485096",1,6619997
"755","NsiI.TP15605",1,6652808
"756","PstI.TP17591",1,6662448
