"","Name","Chromosome","Position","Surv","CmDW_g","Cml_cm","CmD_BI_mm","CmD_LI_mm","CmN.","Bcirc_cm","Yld_kg","SDW_kg","CCirc_cm","Lg","GS","TFN.","FNMain","FNsmall","FD","SRD","ADD","HD_1","FD_1","HD_50.","FD_50.","HW_1","FW_1","HW_50","FW_50","GHW_1","GFW_1","GHW_50","GFW_50","HM_1","FM_1","HM_50","FM_50","fprind","fprinW","fprinGW","fprinM"
"2666","PstI.TP716618",1,918921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1246","PstI.TP1246584",1,1015480,0.73192194100921,1.70026814257369,1.79675278964488,1.59169105820879,1.22937454647742,1.0198862281485,0.684212322700569,0.945132583101629,1.0017839682052,0.964783523000149,0.145709331208675,0.149786774948554,1.07791731756244,0.722664382711196,0.78658548356017,0.415025025023803,0.71627242288256,0.547726754384129,0.020773818042961,0.0182810576224647,0.0635087255568683,0.0526524178087098,0.0108690765468002,0.00776638906345117,0.090010336637482,0.0399981411782252,0.0232210485953149,0.0418508149456591,0.0586885103961215,0.0146132242630166,0.000124349214393776,0.0432092364213143,0.00302072643670386,0.060730915843338,0.0535350491214082,0.0546971956612353,0.0316276757166277,0.00470085232858221
"1882","PstI.TP354591",1,1050082,0.0755206765965249,0.0567420929403609,0.11887580136096,0.101051807829066,0.000461649886652104,0.0625828802825518,1.06008439082051,0.0799405686258426,0.120583342168608,0.140951265570622,0.158539475074364,0.557733162988845,0.866384032413627,0.521221280792409,0.502188969745838,0.958690692573437,0.273313614566465,0.0165785573432761,0.0384349826851071,0.0632184841979108,0.0159615203852185,0.0346572882438397,0.0513800311556075,0.0742181439422579,0.0385477171835977,0.055418999482509,0.066282413130964,0.0817996269056723,0.00492340300512332,0.0736097976992232,0.00204983755143413,0.0596626950984895,0.117645229086901,0.0978946169756553,0.0295172127873951,0.0503648428488186,0.0302525270857918,0.0256967917425146
"3035","PstI.TP856852",1,1153760,0.133051791306632,0.0981299125090857,0.000632123996481584,0.401940652719465,0.146124698167164,0.0736100653495821,0.036825172447551,0.140893150660634,0.232527719319726,0.290712503057691,0.476995934533385,0.741968936686637,1.07355833446801,0.462472251233361,0.261287644626012,0.79791870497278,0.127169104096711,0.0575698990270991,0.999433278487815,1.08175263020843,0.72915504740578,0.783840580594453,0.965799080223725,1.06651724470129,0.72936665404938,0.771568864799743,0.91249379912236,1.06008050046875,0.722091744104717,0.784867290908033,0.954326283663894,1.00355674906045,0.743489737491504,0.752596053767709,0.786740940396865,0.766712546404849,0.787192556632502,0.944165259581356
"2813","PstI.TP775725",1,1175417,2.23663844696724,0.527374235458755,0.325715099436343,0.461079094921633,0.58302471203334,0.0985520191519218,0.34437812417365,0.28004583644317,0.190802589946135,0.944011428168972,0.248204578361373,0.0366911781988566,0.0761839773686328,0.697951340862019,0.170250069851923,1.2576146037619,0.913329998337155,0.978019498155333,0.413089027226008,0.45635075747545,0.336309131691437,0.376347453747846,0.39893779226678,0.501031882638869,0.332463050623806,0.405956406723404,0.370528340676441,0.464722318518879,0.305732809561676,0.436127293616604,0.503531075317995,0.662245529162016,0.275106804434396,0.310156817189765,0.367240161018081,0.383509926825981,0.362499391977048,0.501087398374616
"612","NsiI.TP72077",1,1422420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1813","PstI.TP329515",1,1537490,1.75336635405939,0.36174633746349,0.272281537749931,0.579468010913962,0.385199070463259,0.199693563038329,0.764560565930206,0.00647014603125936,0.053514546369097,0.0245768195551304,0.109841144931116,1.1800710959762,0.323351332996869,0.155783039142924,0.16561400070776,0.596558865378625,0.0787557577221242,0.589621276282197,0.735524081145188,0.740475673288491,0.737242758286374,0.699917003225627,0.737716807359525,0.779868338279794,0.754214192803876,0.731769609583594,0.725457163228477,0.730592696488869,0.608879066573638,0.681541684879676,0.854704540194927,0.838072590487282,0.905822470773667,0.477091180380305,0.717332674819184,0.741065514702368,0.653169438311804,0.844665287918932
"674","NsiI.TP796534",1,1682668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3216","PstI.TP929619",1,1952038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024","PstI.TP417865",1,2030761,0.122093847805126,0.119667871526658,0.00764428782819747,0.40961745696716,0.268009541462618,0.00738638543392803,0.207778266158687,0.04535613487152,0.0810209953374895,0.228786138581438,0.406861904434406,0.508342169085701,0.521803136892302,0.571527678888923,0.417213829403168,3.0404492025383,0.433476268070487,0.751573851993249,0.214161621462619,0.176100976864089,0.271916320721196,0.217565361786233,0.232916277428206,0.179005821485429,0.284664730873961,0.211585281085165,0.220926097438499,0.228057146516722,0.250469556290733,0.135824134448383,0.24684198771686,0.18841540779195,0.377657620852286,0.145994067852827,0.23445185380467,0.234418164936251,0.211293093215,0.243416843471235
"3105","PstI.TP885267",1,2084430,0.589438005300157,0.282636606838009,0.376563775769094,0.0687758369498462,0.0219543598216308,0.486092272454197,0.0753497646565718,0.148877527000373,0.22032902137113,0.129983494329309,0.273921422563394,0.0472111892556569,0.326622978735056,0.0891609937340971,0.254102087193185,0.0356647916364444,0.165886911529177,1.05015783087352,0.116275795276874,0.121401651073678,0.136283168267884,0.106162580332381,0.111900390040005,0.127076017114083,0.115264028010249,0.109978207467076,0.118102226410228,0.195378647050912,0.138242211540105,0.0842662032604646,0.114485356623334,0.0352503616172222,0.0827201319311752,0.199706801042079,0.117928645452002,0.112224970345973,0.124874328827772,0.101996502745817
"2346","PstI.TP56795",1,2315051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"911","PstI.TP108989",1,2588793,0.766452353576144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3305","PstI.TP966432",1,2596832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2072","PstI.TP441536",1,2816855,1.40261168679116,0.0292716847864473,0.0182801323001942,0.341936103551195,0.450844350025342,0.599968825124151,0.0450861615174624,0.15102554897039,0.242389763349036,0.190227231596787,0.383670037274842,0.36041634165718,0.065799422150547,0.00122463360323245,0.235083901851749,0.0446525984441158,0.0792280885964255,0.0314467367246954,0.60889679904388,0.528603810010407,0.473430436675567,0.443832007650343,0.582355911337063,0.532162539981476,0.488705788998393,0.422598965679308,0.572160044671421,0.446248541388799,0.450218554607398,0.352143328197628,0.517657599533195,0.556751244915077,0.726463655318789,0.501034571107571,0.465032330389924,0.448304840669797,0.431879441575558,0.54507586843319
"904","PstI.TP1085601",1,2820903,0.177570865390954,0.685548591504128,0.360145945471127,0.635131105243965,0.391938814347904,0.404924307468975,0.413289238785719,0.645091953157981,0.555271187958572,0.347552562157798,0.077991898118012,0.00952289860984206,0.699597718551278,0.762053295341796,0.670801407026096,0.773189303870975,0.270006354018528,0.315532028542725,0.292002001177594,0.294932315016601,0.317034382162694,0.3424961045245,0.281578212767814,0.298301145569633,0.337306667980622,0.333123043390788,0.226556604038165,0.279991451060679,0.277291348382272,0.350031969383741,0.272097883315522,0.379891503111491,0.221917842375829,0.307241543183103,0.329487208668452,0.333533650012505,0.2953929997813,0.288873376137485
"2244","PstI.TP525202",1,2884119,0.401832391928594,0.671164018462124,0.473601863525283,0.540021452206031,0.690807636682624,0.09484719987202,0.788302677980091,0.531514306624625,0.534496559878677,0.346136809417324,0.121213072776433,0.894263563979963,0.14165618265247,0.399365718110993,0.0030455540790751,0.559654599732682,0.383207569646151,0.402890317753191,0.22336992363713,0.269207996962862,0.350231647064478,0.374432855399489,0.217935485673622,0.304638152518732,0.344271711510166,0.35004406484818,0.184054662432539,0.357258140163839,0.373345699013683,0.409097413081418,0.231077973428323,0.251862510286482,0.409300332305658,0.501388014884245,0.35483614407701,0.34601242309978,0.366934033136257,0.261535014598879
"1294","PstI.TP1268585",1,2988383,0.437016998643042,0.662392517144928,0.35990616747372,0.927005015573258,0.962957197650684,0.0421488399404389,0.676750070449385,0.954857333924187,0.740645557798811,1.49602624094924,0.868005645151636,0.0341956913444653,0.996900615382455,1.11013763607287,0.928552535194465,0.468801248635657,0.647895077911731,0.85103547792393,1.36576527404048,1.41427323191212,1.35585531461163,1.37684044781587,1.34880171390012,1.40089541131904,1.29652878875819,1.38174986981426,1.29300806013594,1.34823900678809,1.33979693231184,1.64785127716925,1.07249017648166,1.01994186466738,1.11763447742404,1.46872249334587,1.37318253271912,1.35601796350876,1.43369318535651,1.09296802736917
"3015","PstI.TP849876",1,3050119,0.242560380295906,0.299847957922153,0.200609113064605,0.226353166479985,0.56031536871016,0.0128030738563734,0.056925638493599,0.151933591165533,0.17977731531613,0.040493916926555,0.0206828146656509,0.143688412927327,0.379066067678393,0.213907240996816,0.0611704391313375,0.277340435144777,0.0943991261880468,0.703941915934571,0.113091864211862,0.140938195333627,0.135773228726957,0.152441497963069,0.131402386127764,0.152521111227637,0.100539159622492,0.151738719725366,0.112143240894491,0.113604652274231,0.0711940757829586,0.189728136235959,0.0505068411286105,0.0363901054183065,0.102069610728336,0.333517503332304,0.144502619235997,0.134583808195787,0.111710501144466,0.0626384247565786
"2523","PstI.TP66009",1,3078783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1526","PstI.TP209693",1,3305106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2458","PstI.TP626124",1,3342723,0,0.753723742400935,0.501032774300336,0.334132023291092,0.413290972686786,0.570822601895131,0.074436667464689,0.399179706197065,0.404373090542943,0.545701456084835,0.108941124457845,0.0781196930509353,0.2297922624688,0.0373888264898363,0.137182209842254,0.386367261032115,0.0692742047136794,0.754306481631584,0.11449756006837,0.149790054793207,0.123384588545613,0.139338037014968,0.14075131028213,0.155834403207095,0.150195880339274,0.142750113297271,0.135707172586971,0.132871702548568,0.0895259614121787,0.151455751873475,0.181397622201415,0.216820260216853,0.169357888284098,0.0460346156396151,0.133249119742064,0.145498849172152,0.115127682049223,0.175090438195496
"851","PstI.TP1059573",1,3357749,0.226370132613289,0.647952181756462,1.19044931811171,0.395995503617543,1.15138908547275,1.06632996197757,0.977874824559303,0.916078333729314,0.740929530475477,0.722418269963329,0.258268345590807,0.495103921903693,0.584649890732617,0.67592775850854,0.469471688871812,0.556905485325844,0.098786819981668,0.333170662914697,0.795049275304104,0.792915636883757,0.879186180779721,0.906781187628804,0.781982970054046,0.750254571370733,0.884121079587725,0.890713787965861,0.819451321621179,0.605529405865136,0.940258944339502,0.825547592471202,0.658043148879793,0.595359834448457,0.929817090729601,0.973199293649836,0.888530992379693,0.885809394242393,0.871215447784368,0.688130709146353
"422","NsiI.TP504485",1,3381640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655045324033247,0.160363799863881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1240","PstI.TP1244443",1,3397749,0.776283282847508,0.551638193312813,0.464418001068986,0.0832933935275162,0.710759352099704,0.486514748930437,0.3717797077329,0.493058444855387,0.549851048405197,1.11832055586032,0.0854373150780455,0.0924476826970903,0.39137389872614,0.427580025615034,0.887325185312321,0.513577082976208,0.741515081107695,0.10177759217855,0.242269920993633,0.30116313365859,0.292140753055095,0.351129561547613,0.251768419825232,0.299602630326666,0.299622623239824,0.379163699941685,0.242761141395093,0.307167049427022,0.276023688838253,0.441402343088196,0.353181976106804,0.229793629747986,0.218744002511468,0.217765503661052,0.323435974036726,0.34981195521056,0.32354076777064,0.314618142496566
"1165","PstI.TP1199997",1,3471828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2764","PstI.TP757375",1,3471897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2691","PstI.TP726521",1,3535515,1.3605101010806,0.282110552199019,0.191958793490463,0.125062888549625,0.088422164172904,0.0915754336015376,0.0926126786340516,0.247330209315791,0.178260811081658,0.315908858248411,0.0104107888759332,0.0442203099118161,0.421481570353755,0.143819794278036,0.221708432234452,0.111397773340448,0.0371790566414495,0.368088755384272,0.118484076151615,0.0915547084704179,0.0675840739259267,0.0618801660497339,0.11227443326294,0.0777876402994221,0.0543067976069313,0.0565280236129902,0.0798589921632761,0.090695580755839,0.0887975391579172,0.0844640934520586,0.0922419785657316,0.203998528793938,0.147872100026663,0.271380061739088,0.0676641493679205,0.0570677074536309,0.0874175242304528,0.124544468963943
"1929","PstI.TP374511",1,3576636,0.0933058715479197,1.14049715230629,1.39095661261574,0.782148166394847,1.00996251240787,1.14589244960321,0.977243923062471,1.14436557801159,1.05217684647473,0.742061307938606,1.46165309397991,0.459716682599798,1.18409358834843,1.56536337585005,0.902675071686171,0.936442283753695,0.730002256915993,0.254609673689424,0.0373379714747114,0.0156751281802216,0.136230918894759,0.0920953735033049,0.0220066058664894,0.0432436884346149,0.122287293870759,0.078866938618765,0.0364029798329234,0.0144282588093505,0.124423467570262,0.0223345918251927,0.189180061018566,0.0818871479970326,0.0361322869049831,0.0332243638684908,0.0990226098960473,0.0888936630497064,0.0751209053037089,0.14485976232561
"1292","PstI.TP1267977",1,3576713,0.0701435033661443,0.143308851192003,0.0572516412070911,0.228183891352052,0.169450663709388,0.18973677634101,0.00469604540756568,0.119534005159393,0.0144611887159469,0.0297789683043301,0.0650549023356897,0.128073825993671,0.06277584668696,0.35433238414675,0.187425387110929,0.0708089861565108,0.26738718992945,0.33442140432686,0.526563117644204,0.503124148749327,0.592229247465642,0.581355315438596,0.502379204126487,0.466141903726491,0.578003634413025,0.558635227682435,0.492946151314891,0.517614365997251,0.623018113322417,0.461357769096622,0.359837035254108,0.568423178521577,0.60430648869422,0.313884795208352,0.580422763663227,0.563349840413485,0.557285599341065,0.418174183204344
"1047","PstI.TP1155202",1,3620639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3293","PstI.TP961085",1,3705536,0.0391501781613636,0.448651329996589,0.00355371103284086,0.351704472580273,0.679925807888485,1.11553276723686,0.585118421583377,0.399340167399933,0.54916307764839,0.466817936520832,1.93231009097021,0.0353173243727012,0.435244995296347,0.41587397552546,0.293680522442196,0.032303756122948,0.441340768833547,0.0999599801907931,0.0576145698496671,0.136177235562553,0.139337010468509,0.183541553574099,0.0792933158128253,0.146274744863889,0.121364750236972,0.210482236345756,0.125859112720998,0.201038099164519,0.113349115192552,0.210547325062854,0.0726775918371428,0.0168900877960478,0.0946643802966968,0.190217005162642,0.160051265905828,0.177399298770068,0.149514586006426,0.0683473043748235
"1546","PstI.TP21889",1,3705780,0.0332885631947496,1.24393665761405,0.790522107710411,0.812687098876479,1.57607009020324,1.30247158609329,0.552959097206237,0.530465528274802,0.645310805165792,0.898268578340758,0.257482525713159,0.297693623682164,0.762585082837721,0.431276065067306,0.374728253473591,0.0923890359312934,0.238901682464311,0.148402254964764,0.860634163765344,0.713148650123248,0.910930359948308,0.828929992445242,0.858799430870416,0.739952485651296,0.928279904981295,0.843801676683993,0.75539328421935,0.726748421707252,0.875370211029015,0.777208700811672,0.846526634471256,0.623358882704528,0.851422701176995,0.756923577928063,0.854671785281274,0.870341078172538,0.828406104683269,0.809651472917453
"842","PstI.TP1053336",1,3955998,0.40023359747396,0.0105662074881716,0.119574427115024,0.250998906272272,0.287375727000301,0.109109998574338,0.347512776508102,0.0954512866274,0.048104295815623,0.00561526702760049,0.669296470539508,0.395234816303773,0.0501512870316905,0.140032359487787,0.00667060768624076,0.557814381220874,0.227776289431493,0.546871235306087,0.136235161571587,0.16019054345293,0.0973094796998443,0.11228106493949,0.130034507941263,0.192902005586452,0.109753746489707,0.111238556030924,0.136503150819047,0.191715586512959,0.0759691949441469,0.0864053537787133,0.369097847831438,0.444716511173922,0.193981052906347,0.115691272192719,0.110182627633708,0.112663545380747,0.093315003971186,0.356146168263145
"261","NsiI.TP403662",1,3957731,1.01437892455271,0.561277746912374,0.243479513439055,0.334463907441813,0.176522240869483,0.30273727045622,0.439037311805931,0.500717390608551,0.464208110097991,0.360683242429151,0.0888507200506013,0.05416248903679,0.245319740719623,0.426034836385377,0.347456754851281,0.204603975581812,0.189033813240012,1.34460694252679,0.416915035112726,0.424798218608512,0.52191620952863,0.49939691796515,0.405773182028718,0.426835623154941,0.565720165915281,0.50300913859658,0.418139591412123,0.441757611973885,0.584626864793242,0.495629589510171,0.397050232112656,0.516813761421562,0.55500821640068,0.601214801013252,0.500787192869976,0.520634669605385,0.533294260036909,0.438418400597532
"3120","PstI.TP891020",1,4033768,0.190024621313571,0.876576786539646,1.03053777375893,0.930156786204706,0.553941279398302,0.287010846351365,0.788930937644646,0.610757641202415,0.482664874066749,0.363597239054556,0.0852850692459214,0.0777599827119764,0.101199952680819,0.196039188862356,0.24483966074789,0.0453786712502416,0.530063534579988,1.08328489709058,0.0475361050098795,0.0785746206173468,0.0654981995306242,0.08155809024627,0.0319740817721764,0.0855279405925214,0.0755249457856319,0.0878899734664321,0.0504222133734184,0.0563691416195178,0.0839630883237199,0.0998099088207682,0.0634543765017233,0.139230524422578,0.14426840179929,0.118680865086048,0.0742386764488139,0.0830266222483759,0.0832923125756532,0.0841139947466666
"2462","PstI.TP629259",1,4276027,0.771805834936818,0.0208087422880641,0.432646206029924,0.204131303594971,0.0476626071239452,0.0798268714209892,0.383734769066265,0.0752340677815144,0.144629411210057,0.0994032873800988,0.499980838462765,0.305930418789772,0.506675495106918,0.258298898767442,0.636719170569318,0.783395723703429,0.873845994041133,0.0729116559987801,1.67802362185349,1.84848696982721,1.71154632284464,1.81462247261004,1.68814628838076,1.8591294726096,1.80269791844046,1.81616078306616,1.58626404101049,1.79543597503277,1.78643717576207,1.88515618280333,1.57608641404244,2.17501251708148,1.89135374238516,1.7616517124989,1.77643619465014,1.81356813880828,1.80913704093479,1.71754172247826
"2461","PstI.TP629254",1,4276045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1366","PstI.TP140451",1,4460094,0.132673528353424,0.133750437822908,0.0245943168678972,0.00646980891755383,0.270373638611921,0.137978919014616,0.184233671075426,0.173139853330856,0.1418161367614,0.419487594929319,1.1061411596336,0.0678034064904718,0.304581947695879,0.464056308840881,0.748985842569464,0.0909934342752758,0.347378983308225,0.480734440523561,0.374413408515833,0.342481803657209,0.327162022494727,0.305884787716807,0.354332205995452,0.323060443722946,0.351414411907515,0.284401869950786,0.342084217152075,0.345118211255182,0.318964340118812,0.225772098609561,0.319193809423676,0.323023126637238,0.392238549384293,0.189061868571752,0.318079847453156,0.307563880104944,0.295454062431032,0.321505074156116
"1998","PstI.TP403850",1,4535788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1255","PstI.TP1250346",1,4555696,0.219158353682424,0.694076549103512,0.398846599856117,0.413584612913346,0.401393856613679,0.597506021845226,0.0499621107476689,0.52610086683557,0.441710889708349,0.914855662663565,0.785380899113287,0.191962355703751,0.210998195707797,0.0415962855459298,0.0819952440045343,0.480673975132341,0.380845703989987,0.0248225072523975,1.00596416705586,1.0723007598703,1.00671646628281,0.966013402927577,0.967311150879675,1.05199270680635,0.938673576084067,0.968660872657349,0.976568140031568,1.0782031692999,1.01600283610314,0.967417835365794,1.00324916036937,1.07480211942677,1.01876270488252,1.2098759997079,0.989117396582105,0.96243584342545,1.01061506603884,1.03899138186552
"366","NsiI.TP468762",1,4620729,1.05703585081602,0.0210903189432782,0.0608034119468035,0.380969980430872,0.0365399487970156,0.409899995492304,0.125188971833745,0.136032646822317,0.0771434046807978,0.11399169577549,0.093711255710645,0.427384537309936,0.0578175515948072,0.102697798408375,0.0483083680731986,0.0296333990614154,0.239766637569853,0.273596257363207,0.655342223564762,0.644740282752762,0.784903908996415,0.784769616268027,0.665331066200597,0.655473984515399,0.785672374998253,0.761322304847239,0.603549641549078,0.779306649078342,0.680356561169114,0.740507110560475,0.603881472127863,0.814415558446107,0.671319405504953,0.311793877916299,0.774220235303113,0.767191416395852,0.704390301093213,0.638976025347198
"1754","PstI.TP307588",1,4762662,0.112699389108222,0.21312829506301,0.0816594535005857,0.0375248291025179,0.257593579761508,0.0957242751741163,0.300260319942591,0.0828538349815261,0.193114366516234,0.247668909133621,1.09997980055315,0.0419396623974449,0.00688318812966509,0.00701059022424924,0.637464185545309,0.246076174343804,0.700525502894642,0.315902759645811,0.806789970368029,0.652779615097735,0.657106454845941,0.64448609216367,0.801885827702389,0.666523519820981,0.633593786910055,0.661659341201518,0.850867253646335,0.713063654558434,0.646413982306126,0.644375487410892,1.05674117498508,0.978571252644971,0.933694756635694,0.809647310924963,0.656547818787117,0.655163955426107,0.671863672068696,1.0301873495782
"3191","PstI.TP920636",1,4777048,0.435543523929509,0.711088703414047,0.927311032590137,0.220101540272826,0.702806150205328,0.871154595256662,0.737339775220507,1.08197610527001,1.39320072547778,1.13364176076358,0.179297693957325,0.583965952088471,1.92184581404285,1.36485104757728,2.21580052553602,0.767096105145071,0.645718329125179,0.581785677018553,0.447313116761392,0.415178346007119,0.358347222560956,0.335900975785528,0.443869827364633,0.406975122114374,0.360322171506415,0.374660273818438,0.497610067608423,0.400759430637189,0.405989108664618,0.384239438638922,0.37608963976894,0.370052902724945,0.364342081602056,0.294590802549663,0.352001163370789,0.371786476849826,0.408336688308225,0.371697158347812
"3270","PstI.TP947391",1,4891496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2579","PstI.TP683907",1,4900973,0.250063077912775,0.429746590185094,0.335414673336461,0.338265574419458,0.439581777929818,0.216239022106521,1.00631033594856,0.571106483854692,0.720243857617997,0.343472974697765,0.842334186146823,0.0391667412181092,0.734096337215477,0.647846458401298,0.347925544331527,0.367760118000677,0.908878284948366,0.115764523967432,1.72929294406234,1.68094857488423,1.70117454223147,1.61179827653172,1.74786593691117,1.62761740203677,1.69518400733439,1.61499591362155,1.77754694429338,1.59197722457544,1.68917588298826,1.57013919618638,1.6643092445026,1.44140009093024,1.45691719823331,1.16360986201151,1.65433001056194,1.64569208395743,1.66443350865186,1.59941766753497
