Trait ID,Trait name,Method,RS#,Chromosome,Marker Position (bp),QTN effect,LOD score,#NAME?,r2 (%),MAF,Genotype  for code 1,Var_Error,Var_phen (total)
38,Trait38,FASTmrMLM,NsiI.TP59527,11,9833,0.0022,1058.7567,Inf,0.0504,0.1595,A,,
38,Trait38,FASTmrMLM,NsiI.TP130730,11,10568,0.0058,1032.5401,Inf,0.3658,0.0819,A,,
38,Trait38,FASTmrMLM,NsiI.TP243305,11,11873,0.0034,1051.0112,Inf,0.1246,0.1552,C,,
38,Trait38,FASTmrMLM,NsiI.TP293440,11,12365,-4.00E-04,981.5944,Inf,2.00E-04,0.0517,C,,
38,Trait38,FASTmrMLM,NsiI.TP302373,11,12421,-8.00E-04,966.5484,Inf,2.00E-04,0.0345,A,,
38,Trait38,FASTmrMLM,NsiI.TP388598,11,13416,0.0011,952.5418,Inf,8.00E-04,0.0302,C,,
38,Trait38,FASTmrMLM,NsiI.TP393109,11,13472,-3.00E-04,1067.6165,Inf,0.001,0.0388,A,,
38,Trait38,FASTmrMLM,NsiI.TP416911,11,13756,0.0045,1039.4515,Inf,0.0971,0.1466,C,,
38,Trait38,FASTmrMLM,NsiI.TP434835,11,14151,0.005,968.1102,Inf,0.1834,0.2931,A,,
38,Trait38,FASTmrMLM,NsiI.TP475618,11,14846,3.00E-04,996.0488,Inf,3.68E-05,0.0129,A,,
38,Trait38,FASTmrMLM,NsiI.TP492468,11,15095,-0.002,897.7302,Inf,0.0427,0.0647,C,,
38,Trait38,FASTmrMLM,NsiI.TP495572,11,15165,0.0075,963.7595,Inf,0.5815,0.2328,C,,
38,Trait38,FASTmrMLM,NsiI.TP532105,11,15712,-0.0012,1074.9842,Inf,0.0073,0.1724,C,,
38,Trait38,FASTmrMLM,NsiI.TP578137,11,16313,-0.0028,1001.8274,Inf,0.078,0.4052,C,,
38,Trait38,FASTmrMLM,NsiI.TP646295,11,17132,-0.0076,1026.6747,Inf,0.5866,0.4267,A,,
38,Trait38,FASTmrMLM,NsiI.TP654668,11,17191,9.00E-04,1109.5624,Inf,0.0089,0.2328,G,,
38,Trait38,FASTmrMLM,NsiI.TP685658,11,17582,2.00E-04,834.0494,Inf,4.47E-05,0.0345,A,,
38,Trait38,FASTmrMLM,NsiI.TP693683,11,17666,1.00E-04,1042.6922,Inf,2.00E-04,0.0216,A,,
38,Trait38,FASTmrMLM,NsiI.TP704103,11,17785,8.00E-04,891.0412,Inf,0.0032,0.0345,C,,
38,Trait38,FASTmrMLM,NsiI.TP705689,11,17810,0.0031,846.6665,Inf,0.0172,0.1034,C,,
38,Trait38,FASTmrMLM,NsiI.TP709794,11,17871,6.00E-04,1040.8832,Inf,0.0039,0.0733,C,,
38,Trait38,FASTmrMLM,NsiI.TP767179,11,18585,9.00E-04,1015.1445,Inf,0.0083,0.2328,A,,
38,Trait38,FASTmrMLM,NsiI.TP784220,11,18785,-0.001,1082.5055,Inf,0.0102,0.0517,C,,
38,Trait38,FASTmrMLM,NsiI.TP832142,11,19332,-0.011,1047.8627,Inf,0.4184,0.1164,C,,
