"","Trait.name","Method","SNP","Chromosome","Position","P.value","ID"
"90","CmD_BI_mm","mrMLM","NsiI.TP438910",4,67451505,0.00000000494719466996549,4
"91","CmD_BI_mm","mrMLM","PstI.TP723544",9,1942972,0.000000647861243110786,6
"92","CmD_BI_mm","mrMLM","PstI.TP838943",3,4037471,0.00000107986384308201,3
"93","CmD_BI_mm","mrMLM","PstI.TP882936",1,5999154,0.0000173041790423846,1
"94","CmD_BI_mm","SUPER","GFSSContig15446_474",6,30284338,0.0000121906348350883,45
"95","CmD_BI_mm","SUPER","NsiI.TP124479",11,10496,0.0000396191909603966,15
"96","CmD_BI_mm","SUPER","NsiI.TP127922",4,54754163,0.0000502064727873464,40
"97","CmD_BI_mm","SUPER","NsiI.TP193765",2,66623554,0.0000601331374525396,32
"98","CmD_BI_mm","SUPER","NsiI.TP195495",6,57418687,0.0000565665168699914,49
"99","CmD_BI_mm","SUPER","NsiI.TP204049",11,11394,0.0000564842612609207,16
"100","CmD_BI_mm","SUPER","NsiI.TP230675",11,11715,0.00000418270818970001,17
"101","CmD_BI_mm","SUPER","NsiI.TP352026",6,555824,0.0000155093656897552,44
"102","CmD_BI_mm","SUPER","NsiI.TP352560",2,67013461,0.0000616493423251639,33
"103","CmD_BI_mm","SUPER","NsiI.TP370880",3,68111215,0.0000429329998537478,39
"104","CmD_BI_mm","SUPER","NsiI.TP423584",2,57602883,0.0000203037235072311,31
"105","CmD_BI_mm","SUPER","NsiI.TP436929",11,14189,0.0000039990772518439,18
"106","CmD_BI_mm","SUPER","NsiI.TP437451",11,14208,0.0000129536677348763,19
"107","CmD_BI_mm","SUPER","NsiI.TP458186",1,17286811,0.0000267615461614301,2
"108","CmD_BI_mm","SUPER","NsiI.TP463974",11,14652,0.0000209878415752104,20
"109","CmD_BI_mm","SUPER","NsiI.TP477347",11,14880,0.0000433523227649251,21
"110","CmD_BI_mm","SUPER","NsiI.TP481731",3,49592212,0.00000563552173762005,35
"111","CmD_BI_mm","SUPER","NsiI.TP485243",11,14975,0.0000565352180353314,22
"112","CmD_BI_mm","SUPER","NsiI.TP501941",3,65413138,0.000069248156784782,38
"113","CmD_BI_mm","SUPER","NsiI.TP508992",11,15394,0.0000483382037658816,23
"114","CmD_BI_mm","SUPER","NsiI.TP520458",11,15536,0.000037707277731949,24
"115","CmD_BI_mm","SUPER","NsiI.TP532803",11,15725,0.0000547067402154368,25
"116","CmD_BI_mm","SUPER","NsiI.TP578154",6,56423273,0.0000541273680314713,48
"117","CmD_BI_mm","SUPER","NsiI.TP607301",11,16622,0.0000598983148747619,26
"118","CmD_BI_mm","SUPER","NsiI.TP615492",4,64860373,0.00000558247298232413,42
"119","CmD_BI_mm","SUPER","NsiI.TP617088",1,64447244,0.0000451716386803693,3
"120","CmD_BI_mm","SUPER","NsiI.TP635575",5,38567770,0.0000158306347194672,43
"121","CmD_BI_mm","SUPER","NsiI.TP675623",6,46224826,0.000060488938537385,46
"122","CmD_BI_mm","SUPER","NsiI.TP681352",3,1496392,0.0000251699172962597,34
"123","CmD_BI_mm","SUPER","NsiI.TP697722",11,17717,0.0000110783370900071,27
"124","CmD_BI_mm","SUPER","NsiI.TP746656",1,78795371,0.000010528611468389,5
"125","CmD_BI_mm","SUPER","NsiI.TP780321",11,18737,0.00000738288556415158,28
"126","CmD_BI_mm","SUPER","PstI.TP1010387",1,1174408,0.0000254697486865669,1
"127","CmD_BI_mm","SUPER","PstI.TP105201",3,55869447,0.0000260319389907663,36
"128","CmD_BI_mm","SUPER","PstI.TP1100995",11,7703,0.0000427967083531055,12
"129","CmD_BI_mm","SUPER","PstI.TP1116419",11,7828,0.0000496504463287229,13
"130","CmD_BI_mm","SUPER","PstI.TP1142775",10,59444663,0.0000323844184125962,7
"131","CmD_BI_mm","SUPER","PstI.TP1166917",6,48079196,0.0000428582590657363,47
"132","CmD_BI_mm","SUPER","PstI.TP1190408",10,55038705,0.0000675448514417505,6
"133","CmD_BI_mm","SUPER","PstI.TP1212087",11,8541,0.0000714599597679365,14
"134","CmD_BI_mm","SUPER","PstI.TP1251590",2,7834748,0.000024282521246672,29
"135","CmD_BI_mm","SUPER","PstI.TP165648",11,1361,0.0000230307015010896,8
"136","CmD_BI_mm","SUPER","PstI.TP234825",11,1928,0.00000742898065338938,9
"137","CmD_BI_mm","SUPER","PstI.TP24440",3,56292065,0.0000303810254523578,37
"138","CmD_BI_mm","SUPER","PstI.TP292445",4,62388173,0.0000196643574352379,41
"139","CmD_BI_mm","SUPER","PstI.TP326938",2,16984761,0.00000697982774122266,30
"140","CmD_BI_mm","SUPER","PstI.TP486630",7,59118365,0.0000685549916022024,50
"141","CmD_BI_mm","SUPER","PstI.TP68682",1,65572744,0.0000299612447159043,4
"142","CmD_BI_mm","SUPER","PstI.TP699168",8,2542291,0.0000687693367636827,53
"143","CmD_BI_mm","SUPER","PstI.TP783734",11,5409,0.0000313642489909383,10
"144","CmD_BI_mm","SUPER","PstI.TP798836",11,5531,0.0000704167175463909,11
"145","CmD_BI_mm","SUPER","PstI.TP953477",7,59672539,0.0000496182118399004,51
"146","CmD_BI_mm","SUPER","PstI.TP976352",8,59033995,0.0000169383484521601,54
"147","CmD_BI_mm","SUPER","PstI.TP979383",8,1964087,0.00000729758806855681,52
"148","CmD_LI_mm","FarmCPU","PstI.TP142256",11,1187,0.00000000295819039894847,24
"149","CmD_LI_mm","FarmCPU","PstI.TP262331",2,4692065,0.0000000832132515785494,21
"150","CmD_LI_mm","FarmCPU","PstI.TP457236",6,808796,0.000000249213983664091,23
"151","CmD_LI_mm","FarmCPU","PstI.TP51816",4,64961913,0.000000146930276272979,22
"152","CmD_LI_mm","FASTmrMLM","NsiI.TP66555",11,9920,0.000055911352757056,12
"153","CmD_LI_mm","FASTmrMLM","NsiI.TP180962",3,55022518,0.0000208497091012371,8
"154","CmD_LI_mm","FASTmrMLM","PstI.TP1154493",2,47054143,0.00000357931565565039,7
"155","CmD_LI_mm","FASTmrMLM","PstI.TP1248844",8,1028461,0.0000607155592988648,11
"156","CmD_LI_mm","FASTmrMLM","PstI.TP217994",4,61088428,0.000000857827569882808,9
"157","CmD_LI_mm","FASTmrMLM","PstI.TP840679",6,49388605,0.000000102188023688844,10
"158","CmD_LI_mm","pLARmEB","NsiI.TP66555",11,9920,0.000026539943868229,15
"159","CmD_LI_mm","pLARmEB","PstI.TP51547",3,14061193,0.0000176400576447641,13
"160","CmD_LI_mm","pLARmEB","PstI.TP816953",11,5653,0.000000596760404972349,14
"161","CmD_LI_mm","ISIS EM-BLASSO","NsiI.TP578256",11,16314,0.0000330673962798845,20
"162","CmD_LI_mm","ISIS EM-BLASSO","NsiI.TP66555",11,9920,0.0000601035328050242,19
"163","CmD_LI_mm","ISIS EM-BLASSO","NsiI.TP554929",3,73321437,0.00000000208737270391055,16
"164","CmD_LI_mm","ISIS EM-BLASSO","PstI.TP1248844",8,1028461,0.0000842558375339826,18
"165","CmD_LI_mm","ISIS EM-BLASSO","PstI.TP840679",6,49388605,0.000000394820778037883,17
"166","CmD_LI_mm","mrMLM","GFSSContig17265_1038",6,49927748,0.0000315867541380874,5
"167","CmD_LI_mm","mrMLM","NsiI.TP506284",1,75748041,0.00000401128943800119,1
"168","CmD_LI_mm","mrMLM","PstI.TP1154493",2,47054143,0.00004907281822605,2
"169","CmD_LI_mm","mrMLM","PstI.TP14229",9,57790410,0.0000164282385310908,6
"170","CmD_LI_mm","mrMLM","PstI.TP217994",4,61088428,0.000000110892710789491,3
"171","CmD_LI_mm","mrMLM","PstI.TP840679",6,49388605,0.000000000000186628514827212,4
"172","CmDW_g","FarmCPU","NsiI.TP111505",2,76892193,0.00000000585514348383405,27
"173","CmDW_g","FarmCPU","NsiI.TP810561",2,61303139,0.000000000000258818681280341,26
"174","CmDW_g","FarmCPU","PstI.TP1250993",4,666401,0.0000000261790652239408,28
"175","CmDW_g","FASTmrMLM","PstI.TP128846",11,1080,0.0000376097113259769,13
"176","CmDW_g","FASTmrMLM","PstI.TP773172",3,55061314,0.00000000491926252434165,10
"177","CmDW_g","FASTmrMLM","NsiI.TP66555",11,9920,0.0000570295572572063,15
"178","CmDW_g","FASTmrMLM","PstI.TP838943",3,4037471,0.0000000000209507705236518,9
"179","CmDW_g","FASTmrMLM","NsiI.TP443042",1,1033284,0.0000504545108382737,8
"180","CmDW_g","FASTmrMLM","NsiI.TP89701",4,63161916,0.000124537458900072,12
"181","CmDW_g","FASTmrMLM","PstI.TP1249212",3,58498950,0.000000191734382891908,11
"182","CmDW_g","FASTmrMLM","PstI.TP758091",11,5231,0.0000000000690398755727844,14
"183","CmDW_g","pLARmEB","NsiI.TP66555",11,9920,0.00000448125853325155,20
"184","CmDW_g","pLARmEB","PstI.TP742466",5,70851257,0.0000224388192378277,18
"185","CmDW_g","pLARmEB","NsiI.TP576208",1,19994793,0.0000155560739852291,16
"186","CmDW_g","pLARmEB","NsiI.TP89701",4,63161916,0.000000368553041852479,17
"187","CmDW_g","pLARmEB","PstI.TP58484",11,490,0.00010069316688518,19
"188","CmDW_g","ISIS EM-BLASSO","PstI.TP1145813",5,69264081,0.0000000430229315938797,23
"189","CmDW_g","ISIS EM-BLASSO","NsiI.TP66555",11,9920,0.00000093046491103124,24
"190","CmDW_g","ISIS EM-BLASSO","PstI.TP838943",3,4037471,0.00000260015956316527,22
"191","CmDW_g","ISIS EM-BLASSO","NsiI.TP247987",11,11923,0.00000042884465349682,25
"192","CmDW_g","ISIS EM-BLASSO","NsiI.TP576208",1,19994793,0.000000657052390963553,21
"193","CmDW_g","mrMLM","PstI.TP773172",3,55061314,0.00000372970944201101,4
"194","CmDW_g","mrMLM","NsiI.TP66555",11,9920,0.000179427910643796,7
"195","CmDW_g","mrMLM","PstI.TP838943",3,4037471,0.00000000000161381965309228,5
"196","CmDW_g","mrMLM","NsiI.TP443042",1,1033284,0.0000000117244640682667,2
"197","CmDW_g","mrMLM","PstI.TP359942",2,60451936,0.0000000118726318149295,3
"198","CmDW_g","mrMLM","PstI.TP47447",1,12743038,0.000000322373994082296,1
"199","CmDW_g","mrMLM","PstI.TP49353",10,55083551,0.0000011423232074096,6
"200","CmDW_g","SUPER","NsiI.TP267424",2,445451,0.000000551761228700687,1
"201","CmDW_g","rrBLUP","PstI.TP723544",9,1942972,0.0000000921680280093793,2
"202","Cml_cm","FarmCPU","NsiI.TP127922",4,54754163,0.000000280974563456747,30
"203","Cml_cm","FarmCPU","NsiI.TP635575",5,38567770,0.000000472682281567543,31
"204","Cml_cm","FarmCPU","NsiI.TP810561",2,61303139,0.000000000218452869351783,29
"205","Cml_cm","FarmCPU","NsiI.TP520698",1,3113038,0.000000332707232980599,28
"206","Cml_cm","FarmCPU","PstI.TP795667",8,528900,0.00000115021886333573,32
"207","Cml_cm","FASTmrMLM","NsiI.TP66555",11,9920,0.00000112590046889494,13
"208","Cml_cm","FASTmrMLM","PstI.TP838943",3,4037471,0.00000530884444230988,8
"209","Cml_cm","FASTmrMLM","PstI.TP14229",9,57790410,0.0000408131391596972,12
"210","Cml_cm","FASTmrMLM","PstI.TP840679",6,49388605,0.00000000609396562340121,11
"211","Cml_cm","FASTmrMLM","NsiI.TP390224",4,58488769,0.00000000156602972068605,10
"212","Cml_cm","FASTmrMLM","NsiI.TP696486",4,10248885,0.0000032968561635689,9
"213","Cml_cm","pLARmEB","NsiI.TP66555",11,9920,0.0000125112297692159,21
"214","Cml_cm","pLARmEB","PstI.TP838943",3,4037471,0.0000000484730112624366,14
"215","Cml_cm","pLARmEB","PstI.TP14229",9,57790410,0.00000000882063802136671,18
"216","Cml_cm","pLARmEB","PstI.TP840679",6,49388605,0.000000000732487132665041,17
"217","Cml_cm","pLARmEB","NsiI.TP33138",5,57403,0.00000989464005130076,16
"218","Cml_cm","pLARmEB","NsiI.TP696486",4,10248885,0.0000430824110479373,15
"219","Cml_cm","pLARmEB","PstI.TP327439",11,2596,0.00000000745418213378992,20
"220","Cml_cm","pLARmEB","PstI.TP360337",10,14458765,0.0000000659781296513957,19
"221","Cml_cm","ISIS EM-BLASSO","PstI.TP773172",3,55061314,0.0000142396724664624,23
"222","Cml_cm","ISIS EM-BLASSO","PstI.TP838943",3,4037471,0.000000546260754212695,22
"223","Cml_cm","ISIS EM-BLASSO","PstI.TP14229",9,57790410,0.0000000210620189899125,27
"224","Cml_cm","ISIS EM-BLASSO","PstI.TP840679",6,49388605,0.00000171790838715759,25
"225","Cml_cm","ISIS EM-BLASSO","NsiI.TP199379",8,2813196,0.0000523600436585751,26
"226","Cml_cm","ISIS EM-BLASSO","NsiI.TP33138",5,57403,0.0000119316361150367,24
"227","Cml_cm","mrMLM","PstI.TP838943",3,4037471,0.0000161138011502325,3
"228","Cml_cm","mrMLM","PstI.TP14229",9,57790410,0.0000000374727874745193,6
"229","Cml_cm","mrMLM","PstI.TP840679",6,49388605,0.00000000199941524885463,4
"230","Cml_cm","mrMLM","NsiI.TP249634",9,5342948,0.0000124274206838374,7
"231","Cml_cm","mrMLM","NsiI.TP488730",6,50310213,0.000000916885279010673,5
"232","Cml_cm","mrMLM","PstI.TP757921",1,26848011,0.00000184231123255734,2
"233","Cml_cm","mrMLM","PstI.TP795530",1,74447495,0.00000767191884255829,1
"234","Cml_cm","SUPER","NsiI.TP229027",11,11698,0.000000180798149655618,3
"235","Cml_cm","SUPER","NsiI.TP27091",11,9422,0.000000623493943820942,2
"236","Cml_cm","SUPER","NsiI.TP318460",11,12617,0.00000307049950033742,4
"237","Cml_cm","SUPER","NsiI.TP696604",1,6941882,0.00000653462449791898,1
"238","Cml_cm","SUPER","PstI.TP1155358",7,61684580,0.00000266606324269275,6
"239","Cml_cm","SUPER","PstI.TP529013",7,3866800,0.00000311069677974166,5
"240","CmN","FarmCPU","PstI.TP636384",11,4471,0.0000000133745449532894,37
"241","CmN","FarmCPU","NsiI.TP127922",4,54754163,0.000000360130685477989,35
"242","CmN","FarmCPU","NsiI.TP352026",6,555824,0.0000000188002835084413,36
"243","CmN","FarmCPU","NsiI.TP327757",3,71119897,0.0000000950384943806966,34
"244","CmN","FASTmrMLM","NsiI.TP66555",11,9920,0.00000218021839718594,18
"245","CmN","FASTmrMLM","PstI.TP723544",9,1942972,0.0000000120475850253495,11
"246","CmN","FASTmrMLM","NsiI.TP426369",9,759492,0.00000000875991717633119,10
"247","CmN","FASTmrMLM","NsiI.TP45500",11,9695,0.000100669984095796,17
"248","CmN","FASTmrMLM","PstI.TP1014541",11,7044,0.000000000148149435155883,13
"249","CmN","FASTmrMLM","PstI.TP104645",6,44593939,0.00000000000633577870671255,9
"250","CmN","FASTmrMLM","PstI.TP1051333",11,7299,0.00000488652359342834,14
"251","CmN","FASTmrMLM","PstI.TP1079991",11,7542,0.000000000000743361389655178,15
"252","CmN","FASTmrMLM","PstI.TP1151934",11,8086,0.000014914201280944,16
"253","CmN","FASTmrMLM","PstI.TP238422",3,61336314,0.00000000231366245970354,8
"254","CmN","FASTmrMLM","PstI.TP411848",11,3188,0.000000000272144774645436,12
"255","CmN","FASTmrMLM","PstI.TP688814",2,66114697,0.0000639293074910215,7
"256","CmN","pLARmEB","PstI.TP723544",9,1942972,0.000000000560402417364185,21
"257","CmN","pLARmEB","NsiI.TP426369",9,759492,0.000000221972922495428,20
"258","CmN","pLARmEB","NsiI.TP45500",11,9695,0.00000676861792919746,28
"259","CmN","pLARmEB","PstI.TP1014541",11,7044,0.0000000000000126561029820636,25
"260","CmN","pLARmEB","PstI.TP104645",6,44593939,0.00000000000401605821941167,19
"261","CmN","pLARmEB","PstI.TP1051333",11,7299,0.000000251651776161464,26
"262","CmN","pLARmEB","PstI.TP1079991",11,7542,0.0000000672666810431099,27
"263","CmN","pLARmEB","PstI.TP36138",11,300,0.000000301508805403789,22
"264","CmN","pLARmEB","PstI.TP411848",11,3188,0.00000000919602196658617,23
"265","CmN","pLARmEB","PstI.TP607350",11,4289,0.00000186939036513748,24
"266","CmN","ISIS EM-BLASSO","NsiI.TP247987",11,11923,0.00000867560958697706,32
"267","CmN","ISIS EM-BLASSO","NsiI.TP13678",11,9269,0.0000964272985510526,31
"268","CmN","ISIS EM-BLASSO","PstI.TP1014541",11,7044,0.0000000698393196540885,30
"269","CmN","ISIS EM-BLASSO","PstI.TP866959",9,50250813,0.00000684857159125856,29
"270","CmN","mrMLM","NsiI.TP296932",9,49933625,0.00000000906055915179999,5
"271","CmN","mrMLM","PstI.TP723544",9,1942972,0.000000000000775602142338696,4
"272","CmN","mrMLM","NsiI.TP426369",9,759492,0.00000424837652090312,6
"273","CmN","mrMLM","PstI.TP104645",6,44593939,0.0000148040996576754,3
"274","CmN","mrMLM","PstI.TP233305",3,72380511,0.00000644325026071199,1
"275","CmN","mrMLM","PstI.TP238422",3,61336314,0.000154960139972127,2
"276","CmN","SUPER","PstI.TP687359",7,64303520,0.000141908659298003,222
"277","CmN","SUPER","NsiI.TP127922",4,54754163,0.000000182776991129361,184
"278","CmN","SUPER","NsiI.TP352026",6,555824,0.00000000122710367351574,199
"279","CmN","SUPER","PstI.TP1248844",8,1028461,0.0000000594773884410075,223
"280","CmN","SUPER","PstI.TP1250993",4,666401,0.000000034299540454885,172
"281","CmN","SUPER","NsiI.TP27091",11,9422,0.000218409657824648,103
"282","CmN","SUPER","GFSSContig20159_1535",4,66481522,0.00000165668710060001,191
"283","CmN","SUPER","NsiI.TP101339",11,10216,0.000000249956181363698,105
"284","CmN","SUPER","NsiI.TP102287",9,41271971,0.00000316895754393172,233
"285","CmN","SUPER","NsiI.TP11666",7,14339016,0.0000000634747681419114,216
"286","CmN","SUPER","NsiI.TP122100",11,10465,0.0000000546607974029725,106
"287","CmN","SUPER","NsiI.TP124294",11,10495,0.00023574643376314,107
"288","CmN","SUPER","NsiI.TP146220",1,13426299,0.00000688421442517598,11
"289","CmN","SUPER","NsiI.TP163069",11,10927,0.00000573774296508395,108
"290","CmN","SUPER","NsiI.TP167218",11,10984,0.0000130241155371339,109
"291","CmN","SUPER","NsiI.TP170068",11,11018,0.0000358699778204081,110
"292","CmN","SUPER","NsiI.TP194597",6,59271134,0.000000202324605909293,210
"293","CmN","SUPER","NsiI.TP202440",4,54558796,0.00000252570188554945,183
"294","CmN","SUPER","NsiI.TP205429",1,68259081,0.000135075043033385,19
"295","CmN","SUPER","NsiI.TP205550",6,49661014,0.000111256075621185,205
"296","CmN","SUPER","NsiI.TP213158",2,67720379,0.00000251115895953448,153
"297","CmN","SUPER","NsiI.TP21982",11,9362,0.000295606978932229,102
"298","CmN","SUPER","NsiI.TP220467",11,11596,0.000000130212939772192,111
"299","CmN","SUPER","NsiI.TP221194",11,11601,0.000206631849932432,112
"300","CmN","SUPER","NsiI.TP222046",1,73576744,0.0000420941295338139,25
"301","CmN","SUPER","NsiI.TP312592",6,32294349,0.000000106085001059771,201
"302","CmN","SUPER","NsiI.TP319204",11,12621,0.000000227193694216509,113
"303","CmN","SUPER","NsiI.TP332537",2,74045155,0.000161203624819455,158
"304","CmN","SUPER","NsiI.TP348696",11,12959,0.0000674239376864997,114
"305","CmN","SUPER","NsiI.TP354716",9,10258988,0.00000548891884889149,230
"306","CmN","SUPER","NsiI.TP358286",4,6118094,0.0000395603555310431,176
"307","CmN","SUPER","NsiI.TP370563",1,9097286,0.00000589711446179466,5
"308","CmN","SUPER","NsiI.TP380123",11,13334,0.000274374210386459,115
"309","CmN","SUPER","NsiI.TP382582",11,13360,0.0000103741313152414,116
"310","CmN","SUPER","NsiI.TP395697",11,13483,0.000000051603292879318,117
