"filename","SNP","Chromosome","Position","P.value","maf","Sbicolor3.Chr","Sbicolor3.Pos","Sbicolor3.Qual","Sbicolor3.SNPpos","Sbicolor.gene.name","Gene.ontology","best.Athaliana.TAIR10.hit.name","best.Athaliana.TAIR10.hit.symbol","best.Athaliana.TAIR10.hit.defline","best.Osativa.v7.0.hit.name","best.Osativa.v7.0.hit.symbol","best.Osativa.v7.0.hit.defline","Sbicolor.genes.containing.SNP"
"SNPallpPC_w.csv","PstI.TP202284",10,56175041,0.00163332369303957,0.267602322434859,"Chr10",56175007,36,56175041,"Sobic.010G219500","GO:GO:0006457","AT5G45680.1","ATFKBP13,FKBP13","FK506-binding protein 13","LOC_Os06g45340.1",NA,"peptidyl-prolyl cis-trans isomerase, FKBP-type, putative, expressed","Sobic.010G219500"
"SNPallpPC_w.csv","PstI.TP1027360",2,64471256,0.0270021380227385,0.454216290122963,"Chr02",64471221,28,64471256,"Sobic.002G259400","GO:GO:0008270","AT3G26935.1","","DHHC-type zinc finger family protein","LOC_Os09g33450.1",NA,"zinc finger DHHC domain-containing protein, putative, expressed","Sobic.002G259400"
"SNPallpd.csv","NsiI.TP632002",1,70863814,2.27678031164895e-11,0.220740537148694,"Chr01",70863793,36,70863814,"Sobic.001G429500","GO:GO:0046488,GO:GO:0016307","AT1G77740.1","PIP5K2","phosphatidylinositol-4-phosphate 5-kinase 2","LOC_Os03g15550.1",NA,"phosphatidylinositol-4-phosphate 5-kinase, putative, expressed","Sobic.001G429500"
"SNPallpd.csv","NsiI.TP728788",11,18071,1.2871657359213e-08,0.130354195611884,"",NA,NA,NA,"","","","","","",NA,"",""
"SNPallpfW.csv","PstI.TP477722",1,65237049,9.26689341216316e-06,0.233637030991003,"Chr01",65237026,22,65237049,"Sobic.001G362900","GO:GO:0055114,GO:GO:0020037,GO:GO:0016705,GO:GO:0005506","AT3G26280.1","CYP71B4","cytochrome P450, family 71, subfamily B, polypeptide 4","LOC_Os10g30380.1",NA,"cytochrome P450, putative, expressed","Sobic.001G362900"
"SNPallpfW.csv","NsiI.TP321836",10,43096218,9.38183338967721e-05,0.140823314214071,"Chr10",43096195,12,43096218,"","","","","","",NA,"",""
"SNPallpfW.csv","NsiI.TP789014",1,28276920,0.000182226863098627,0.138694045351621,"Chr01",28276900,22,28276920,"","","","","","",NA,"",""
"SNPallpfW.csv","PstI.TP189070",11,1540,0.0094541528889606,0.407215596368533,"",NA,NA,NA,"","","","","","",NA,"",""
"SNPallpfW.csv","PstI.TP114049",3,56021694,0.0192043053511818,0.053229120715541,"Chr03",56021687,24,56021694,"Sobic.003G224200","GO:GO:0006468,GO:GO:0005524,GO:GO:0004672","AT1G64300.2","","Protein kinase family protein","LOC_Os01g43350.1",NA,"protein kinase family protein, putative, expressed","Sobic.003G224200"
"SNPallpfd.csv","PstI.TP477722",1,65237049,7.23560423780726e-06,0.233637030991003,"Chr01",65237026,22,65237049,"Sobic.001G362900","GO:GO:0055114,GO:GO:0020037,GO:GO:0016705,GO:GO:0005506","AT3G26280.1","CYP71B4","cytochrome P450, family 71, subfamily B, polypeptide 4","LOC_Os10g30380.1",NA,"cytochrome P450, putative, expressed","Sobic.001G362900"
"SNPallpfd.csv","NsiI.TP321836",10,43096218,8.31386204765015e-05,0.140823314214071,"Chr10",43096195,12,43096218,"","","","","","",NA,"",""
"SNPallpfd.csv","NsiI.TP789014",1,28276920,0.00022357178798256,0.138694045351621,"Chr01",28276900,22,28276920,"","","","","","",NA,"",""
"SNPallpfd.csv","PstI.TP189070",11,1540,0.0143262160554237,0.407215596368533,"",NA,NA,NA,"","","","","","",NA,"",""
"SNPallpfd.csv","PstI.TP114049",3,56021694,0.0239715653832563,0.053229120715541,"Chr03",56021687,24,56021694,"Sobic.003G224200","GO:GO:0006468,GO:GO:0005524,GO:GO:0004672","AT1G64300.2","","Protein kinase family protein","LOC_Os01g43350.1",NA,"protein kinase family protein, putative, expressed","Sobic.003G224200"
"SNPallpw.csv","NsiI.TP632002",1,70863814,6.03245833709624e-08,0.220740537148694,"Chr01",70863793,36,70863814,"Sobic.001G429500","GO:GO:0046488,GO:GO:0016307","AT1G77740.1","PIP5K2","phosphatidylinositol-4-phosphate 5-kinase 2","LOC_Os03g15550.1",NA,"phosphatidylinositol-4-phosphate 5-kinase, putative, expressed","Sobic.001G429500"
"SNPallpw.csv","NsiI.TP728788",11,18071,0.000175541154835626,0.130354195611884,"",NA,NA,NA,"","","","","","",NA,"",""
"SNPallpw.csv","PstI.TP202284",10,56175041,0.00163332369303957,0.267602322434859,"Chr10",56175007,36,56175041,"Sobic.010G219500","GO:GO:0006457","AT5G45680.1","ATFKBP13,FKBP13","FK506-binding protein 13","LOC_Os06g45340.1",NA,"peptidyl-prolyl cis-trans isomerase, FKBP-type, putative, expressed","Sobic.010G219500"
"SNPallpw.csv","PstI.TP1027360",2,64471256,0.0270021380227385,0.454216290122963,"Chr02",64471221,28,64471256,"Sobic.002G259400","GO:GO:0008270","AT3G26935.1","","DHHC-type zinc finger family protein","LOC_Os09g33450.1",NA,"zinc finger DHHC domain-containing protein, putative, expressed","Sobic.002G259400"
